Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.8474850019316937,73.81,0.18664252262111683,94.11
2,0.1788191348969587,94.56833333333333,0.10378450949700063,96.6
3,0.11803727183363903,96.42500000000001,0.077625626584687,97.44
4,0.09378557182403642,97.07000000000001,0.09531403104270435,96.95
5,0.07871390087381085,97.59666666666666,0.05590675708357316,98.25
6,0.07040769875502345,97.82499999999999,0.08719657906583232,97.2
7,0.06357004699696388,98.00999999999999,0.0406656766225618,98.65
8,0.057092072954748885,98.24166666666667,0.04351382340274152,98.59
9,0.05359731562674415,98.31666666666666,0.042309032953407315,98.61
10,0.048908689709654306,98.43833333333333,0.035512473608925496,98.75
